Run 1 Latency M[256],Run 2 Latency M[6400],Run 3 Latency M[12800],Run 4 Latency M[25600],Run 5 Latency M[51200],Run 6 Latency M[76800],Run 7 Latency M[102400],Run 8 Latency M[128000],Run 9 Latency M[153600],Run 10 Latency M[179200],Run 11 Latency M[204800],
35604,957217,6999550,9081283,18130486,27208045,36231349,45342228,59375908,68528942,77567521,
34907,868744,1956072,9091262,18154595,32271982,41222352,50331230,59381535,73596958,82577271,
34795,871020,7128190,9094717,23090277,27207725,36267881,50320712,54404867,68506406,77615214,
35785,6137740,1880503,9124932,18127460,32225799,41216524,50387724,59374612,68546540,77595092,
34751,916022,7194290,14082817,18150390,27220277,41220998,45389475,59356397,68526002,77624438,
34753,871224,6983070,9116863,18090070,32252976,36251587,50331483,59344720,68514367,82580826,
34804,870055,2012169,9093387,23088137,27191320,41172908,50345686,59359830,68597790,77585382,
35915,6170453,7032903,9090543,18148917,32205225,36262932,50364141,59330035,68525959,77591444,
34823,888926,1949494,9093252,18145658,27203013,41199162,50345556,59380892,68519837,77608637,
34827,868622,7126509,9098981,23104696,27271242,41194961,45395615,59334800,68497387,82564907,
35654,6044703,1861931,14093176,18131748,32214098,36259334,50306166,59390368,73550726,77643857,
34708,969081,7241622,9122705,18075668,27229870,41208266,50362689,59354111,68524744,77586518,
34850,869246,7022217,9070186,23089789,32218746,41216166,50341046,59369127,68537308,77512256,
34910,871230,1998084,9083719,18157236,27258332,36248696,50372869,59363771,68521618,82569365,
35564,6101968,7059252,9088615,18128269,32236101,41170818,45367109,59387720,68497922,77645848,
34766,933032,1902874,9123298,23094286,27209775,36220575,50303447,54397125,68564659,77575771,
34781,869950,7189054,14105928,18145182,32221537,41241890,50395325,59400383,68534500,82563082,
35801,871202,1830852,9112978,18083624,27207413,41200651,50329395,59334864,68518140,77574034,
34878,6140732,7237288,9084376,18133351,32239130,36224597,45376676,59363104,68454303,77575304,
34862,889780,6993784,9081403,23121318,27239521,41234638,50406929,59318003,68512562,77619207,
34879,869900,1971774,9082215,18117736,32222449,36219754,50315847,59399760,73556999,82570251,
35574,6077058,7093145,9091579,18125211,27251516,41247389,50337578,59342766,68514496,77546130,
34747,979170,1894252,14123749,23131199,32224652,41222603,50337756,59378995,68557086,77604285,
34826,868701,7213874,9099874,18076606,27239118,36230456,45380780,59342783,68540012,77589376,
35856,869956,7014634,9094177,18112853,32221255,41198771,50326886,59351764,68476521,82532497,
34853,6098149,2032270,9083341,23107570,27231316,36230953,50329738,59348274,68584746,77602431,
34885,975635,7004206,9090848,18152661,32229404,41225637,50336220,59356774,68513331,77614784,
34817,868102,1950036,9111154,18106577,27239621,41221915,45370005,59366298,68506899,77542215,
35578,867115,7120155,14096530,23091268,32213236,36240592,50351606,54360661,68487879,82527315,
34827,6087265,1878897,9114549,18119199,27243955,41200374,50346579,59368297,68531114,77656190,
34816,905303,7199660,9074712,18123198,27223274,41246942,50363199,59331885,73553228,77592904,
35877,868620,6980391,9084572,18143573,32259703,36199909,50317799,59350091,68497412,77565867,
34965,6041807,2004961,9101784,23123826,27231968,41230477,45343307,59336036,68517167,82566162,
34891,997917,7036274,9068425,18118912,32233493,36236402,50350547,59373844,68500488,77610758,
36061,867754,1939420,9159524,18130781,27223860,41221906,50310587,59330550,68553305,77601270,
34897,869977,7167338,14080644,23133380,32250631,41257122,50340466,59359547,68538218,77630548,
34734,6106803,1852315,9091186,18106767,27194676,36235603,45400018,59315174,68492080,82563503,
35713,955931,7224132,9092253,18127974,32260814,41221034,50306252,59391622,68533312,77603668,
34879,870010,7016710,9113023,23107067,27175325,36308846,50327126,59322675,68495569,77615793,
34838,871237,1988772,9089458,18131934,32262903,41169338,50344848,59372971,73533032,77601516,
35920,6086549,7058881,9113593,18107960,27193605,41209975,50330029,54384529,68511917,82582666,
34740,917370,1911215,14106079,23133222,32248668,36288882,45372418,59374106,68532248,77681489,
34764,869992,7193102,9091481,18129410,27190054,41154435,50359265,59344772,68571583,77629961,
4272280,871178,1823309,9082372,18125082,32290910,36243250,50350379,59329606,68521226,82545558,
34765,6148591,7261132,9110973,18118221,27223363,41244391,50298206,59352337,68583315,77602012,
35906,878603,6981507,9067923,23117078,32249700,41146593,50394395,59348693,68544618,77616438,
34773,866782,1975757,9143652,18126895,27220655,36267236,45371690,59379933,68500736,77542752,
34800,6102335,7096195,14077513,18164635,32245760,41183861,50347501,59340224,68508979,82573273,
36095,966937,1889404,9093431,23094294,27203537,36220136,50298169,59385438,73515763,77591868,
34745,871103,7209187,9092855,18135915,27216583,41232434,50403128,59351703,68568829,77573458,
34832,868740,7014543,9107860,18103495,32219747,41201284,45336959,59339333,68537473,77582955,
34940,6132737,2031055,9115220,23089493,27228314,36223283,50372431,59372682,68540725,82561169,
35779,926799,7008528,9109202,18151125,32264306,41232063,50383982,59370295,68548166,77584116,
35062,869757,1947679,14097248,18136385,27223106,41227393,50350743,54376216,68554482,77593384,
34848,864220,7129914,9103847,23106867,32218177,36213827,50360408,59383450,68554675,77536614,
35676,6146628,1876965,9091980,18136018,27195498,41231299,45340244,59369347,68485503,82525240,
34945,890838,7197576,9111624,18117465,32279075,36236548,50363377,59328895,68514315,77599142,
34860,867975,7031083,9054269,18137135,27173196,41195509,50355756,59371626,68514252,77569549,
34789,6034203,2002355,9146555,23111871,32258357,41257310,50331881,59357460,73569210,77599160,
35705,984095,7001792,14055144,18163742,27187139,36222436,45393608,59362925,68542760,82573527,
34712,869907,1936989,9113295,18110238,32266532,41208131,50308164,59374484,68485300,77591898,
34720,868164,7147940,9098623,23135746,27207110,36282342,50383253,59360372,68535056,77608181,
35937,6106411,1852982,9095710,18108162,32221019,41201519,50363430,59358820,68506551,77663139,
34758,942711,7216242,9110789,18113916,27224977,41197248,50343789,59339926,68572294,82540234,
34848,867866,7004819,9113192,23094755,32245056,36237885,45381770,59391118,68486847,77628302,
34936,871181,1997425,14086732,18170542,27217316,41198935,50335882,59383969,68489223,77656900,
35472,6125348,7070040,9122274,18119844,32209154,36239019,50399118,54353808,68505467,77542911,
34886,905232,1907588,9104989,23123789,27200576,41229676,50304256,59354077,73513649,82572108,
34850,871183,7206921,9099762,18133615,27269103,41198297,50383858,59337258,68533156,77660081,
35869,6066634,7026437,9085695,18123731,32199609,36230893,45407262,59315070,68552718,77612532,
34871,998024,2051323,9134304,18133282,27228635,41227907,50332088,59331928,68492034,82549969,
34849,867931,6995230,14058111,23121158,32228729,41224945,50298582,59369903,68548422,77633026,
34899,870188,1967976,9125093,18140957,27244463,36247158,50350113,59307768,68512190,77604909,
35713,6091346,7109508,9106080,18102393,32215073,41199691,45382914,59352857,68530133,77580587,
34862,951137,1918007,9098652,23142352,27200053,36231735,50326472,59309464,68459539,82583461,
34998,871282,7161919,9107805,18093605,32211570,41220276,50376462,59359347,68508609,77619013,
35720,868704,7002311,9121752,18111689,27209073,41239512,50335795,59366535,68523333,77600016,
34861,6121513,2019914,14075282,23124002,32237179,36213795,50313898,59359812,73567791,77560070,
34849,945686,7024681,9116964,18148947,27232452,41233035,45390486,54371430,68514566,82559837,
34802,870076,1942171,9112455,18118049,32234933,36264903,50321780,59333558,68521194,77574485,
35481,867833,7140069,9102381,23102722,27222521,41192610,50350747,59366708,68536964,77632076,
34884,6125312,1870578,9080994,18133308,32239622,41229961,50359169,59302965,68550172,77580208,
34833,874247,7214334,9095404,18110536,27221980,36268816,45324051,59360527,68534138,82527220,
35899,867389,7007496,14090465,18125979,32214398,41173181,50361903,59322433,68591030,77596037,
34760,6096193,2001112,9112887,23118316,27260551,36253536,50317527,59353983,68500512,77600514,
34817,965853,7043379,9088896,18123391,32200226,41243535,50390253,59358494,68506147,77608729,
34838,868585,1931145,9100518,18146218,27215860,41209875,50317502,59335556,73539074,82573730,
35859,867986,7154936,9129201,23114015,27227181,36246720,45411273,59349787,68535633,77620906,
34828,6094554,1844654,9095812,18103871,32243451,41209431,50333916,59347967,68566227,77558532,
35098,928246,7239162,14075891,18104628,27226954,41221685,50383888,59417199,68537398,77603964,
35612,866704,7005192,9124929,23109513,32282221,36231768,50345438,54343696,68556361,82583886,
34963,867934,1980854,9085034,18137937,27230220,41201741,50368520,59420614,68534425,77614516,
35011,6136099,7106753,9089321,18137109,32270302,36230286,45365288,59323305,68531587,77583019,
