Run 1 Latency M[256],Run 2 Latency M[6400],Run 3 Latency M[12800],Run 4 Latency M[25600],Run 5 Latency M[51200],Run 6 Latency M[76800],Run 7 Latency M[102400],Run 8 Latency M[128000],Run 9 Latency M[153600],Run 10 Latency M[179200],Run 11 Latency M[204800],
42259,5493198,2398691,13583231,22695444,31959594,40975345,45825473,59310692,68536865,82094573,
41941,1099356,6772169,9211058,18300341,27521147,36550454,50194905,59322364,68626642,77747212,
42072,1128280,2395560,9202347,18302131,31912875,41015716,50238737,59307047,68597127,77774963,
41914,1126828,6759008,9197079,22720140,27524648,40976110,50194899,59336849,68537170,77705846,
42107,5491981,6762087,9225170,18273439,31912587,36585577,50231230,59298356,68617411,82094473,
41863,1120414,2390294,9193792,18342766,27466116,41017446,45818205,59300158,68558828,77747679,
42146,1118170,6765112,13572290,22694177,27506269,40951522,50201200,54889818,68582720,77745473,
41919,5497905,2382686,9222512,18310426,31920691,36639230,50250213,59306534,72913295,77740618,
42016,1138637,6772313,9201576,18287533,27508621,40978070,50188091,59309590,68566805,82139460,
41940,1138373,2389867,9193715,22747327,31922040,36569841,45809815,59292990,68640648,77716472,
41972,1118621,6766158,9192901,18279588,27490463,41009474,50195849,59291084,68557616,77743929,
41966,5508212,6808713,9197987,18320535,31925293,41028195,50193535,59254658,68585752,77793177,
42098,1105300,2377316,13565475,18325641,27486433,36594608,50237944,59327035,68566472,82118959,
42001,1127950,6770568,9228507,22691797,31906853,41008451,50200307,59265725,68575791,77772404,
41905,1106378,2398846,9203728,18309774,27486521,36591756,45899217,59301500,68633739,77768053,
41835,5505473,6779103,9188614,18347071,31944453,40966647,50180554,59321339,68566729,77735031,
42287,1121593,2380059,9228762,22708963,27465388,41002922,50194397,59325525,68576833,82145752,
42133,1158311,6755315,9201393,18301033,31939893,36614206,50215317,59282707,72943829,77811894,
41933,1101254,6759683,13564733,18313363,27488787,40968494,45800624,59335944,68551791,77756902,
41644,5546566,2427539,9224892,22686230,31958669,36585830,50235105,54884561,68619547,77726768,
